name,cas,carbons,distributor,container_size,state,location,bottles,storage_conditions,hazards,sds_link
Calcium Sulfate Dihydrate,,,ALDRICH,100g,<NA>,Lower Cabinet 217,1,rt,nuisance dust; irritant,https://www.sigmaaldrich.com/sds/sigald/255548
Iron(III) nitrate nonahydrate,7782-61-8,,sigma-aldrich,250g,<NA>,Lower Cabinet 217,1,rt dry,oxidizer; corrosive; irritant,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC423715000
Lithium Hydroxide,1310-65-2,,ALDRICH,100g,<NA>,Lower Cabinet 217,1,rt dry,corrosive; harmful if swallowed,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC611545000
Potassium hydroxide pellets,1310-58-3,,Fisher Scientific,3 kg,<NA>,Lower Cabinet 217,1,rt dry,corrosive,https://www.sigmaaldrich.com/US/en/sds/aldrich/306576
Potassium hydroxide pellets,1310-58-3,,Sigma-Aldrich,500 g,<NA>,Lower Cabinet 217,1,rt dry,corrosive,https://www.sigmaaldrich.com/US/en/sds/aldrich/306576
Sodium hydroxide,1310-73-2,,Sigma-Aldrich,25 g,<NA>,Lower Cabinet 217,1,rt dry,corrosive,https://www.sigmaaldrich.com/US/en/sds/sial/s5881
Sodium Phosphate dibasic heptahydrate,7782-85-6,,Fisher,500g,<NA>,Lower Cabinet 217,1,rt,irritant,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=S3733
3-(aminopropyl)triethoxysilane,919-30-2,,Aldrich,500mL,<NA>,Silanes PN hood,1,rt dry inert gas,corrosive; severe burns; harmful if inhaled,https://s3.amazonaws.com/gelest/sds/SIA0610.0_GHS%2BUS_English%2BUS.pdf
"CARBOXYETHYLSILANETRIOL, DISODIUM SALT, 25% in water",18191-40-7,,,25 mL,<NA>,Silanes PN hood,3,rt,eye/skin irritant,https://s3.amazonaws.com/gelest/sds/SIC2263.0_GHS%20EU_English.pdf
3-(aminopropyl)triethoxysilane,919-30-2,,acros,500g,<NA>,Silanes PN hood,2,rt dry inert gas,corrosive; severe burns; harmful if inhaled,https://s3.amazonaws.com/gelest/sds/SIA0610.0_GHS%2BUS_English%2BUS.pdf
3-(aminopropyl)triethoxysilane,919-30-2,,Aldrich,100mL,<NA>,Silanes PN hood,2,rt dry inert gas,corrosive; severe burns; harmful if inhaled,https://s3.amazonaws.com/gelest/sds/SIA0610.0_GHS%2BUS_English%2BUS.pdf
3-(aminopropyl)triethoxysilane,919-30-2,,Alfa Aesar,100g,<NA>,Silanes PN hood,1,rt dry inert gas,corrosive; severe burns; harmful if inhaled,https://s3.amazonaws.com/gelest/sds/SIA0610.0_GHS%2BUS_English%2BUS.pdf
Trimethylmethoxysilane,1825-61-2,,GELEST,25,<NA>,Silanes PN hood,1,rt dry inert gas,combustible; eye/skin irritant; releases methanol on hydrolysis,https://www.sigmaaldrich.com/US/en/sds/ALDRICH/253006
pentamethyl cyclopentasiloxane,6166-86-5,,GELEST,25,<NA>,Silanes PN hood,1,rt,combustible liquid; eye/skin irritant,https://www.gelest.com/wp-content/uploads/product_msds/SIP6718.0-msds.pdf
N-(2-aminoethyl)-3-aminopropylslanetriol,68400-09-9,,GELEST,100,<NA>,Silanes PN hood,1,rt,eye/skin irritant,https://s3.amazonaws.com/gelest/sds/SIA0590.0_GHS%2BUS_English%2BUS.pdf
t-butyldimethylsilanol,18173-64-3,,GELEST,5,<NA>,Silanes PN hood,1,rt dry,flammable; eye/skin irritant,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AAL16541
hexamethyldisilazane,999-97-3,,GELEST,25,<NA>,Silanes PN hood,1,rt dry,flammable; causes severe skin burns and eye damage; harmful if inhaled,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC120580100
"(3,3,3-trifluoropropyl)trimethoxsilane",429-60-7,,UCT SPECIALITES,25,<NA>,Silanes PN hood,1,rt dry,eye/skin irritant; STOT SE 3 (resp),https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC392470250
3-aminopropyltrimethoxysilane,13822-56-5,,GELEST,25,<NA>,Silanes PN hood,1,rt dry inert gas,corrosive; severe burns; harmful if inhaled,https://www.tcichemicals.com/US/en/sds/A2128_US_EN.pdf
3-chloropropyldimethylmethoxysilane,18171-14-7,,GELEST,10,<NA>,Silanes PN hood,1,rt dry,flammable; eye/skin irritant,https://www.gelest.com/wp-content/uploads/product_msds/SIC2338.0-msds.pdf
3-mercaptopropyl-trimethoxysilane,4420-74-0,,GELEST,100,<NA>,Silanes PN hood,1,rt dry,flammable; eye/skin irritant; skin sensitizer,https://assets.fishersci.com/TFS-Assets/CCG/SDS/43909200_SDS.pdf
"(3-Mercaptopropyl)-trimethoxysilane,95%",4420-74-0,,ALDRICH,25,<NA>,Silanes PN hood,2,rt dry,flammable; eye/skin irritant; skin sensitizer,https://assets.fishersci.com/TFS-Assets/CCG/SDS/43909200_SDS.pdf
n-(2-aminoethyl)-3-aminopropyl-trimethoxysilane,1760-24-3,,GELEST,25,<NA>,Silanes PN hood,1,rt dry inert gas,corrosive; severe burns; harmful if inhaled,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC216535000
n-methylaminopropyltrimethoxysilane,3069-25-8,,GELEST,25,<NA>,Silanes PN hood,1,rt dry inert gas,eye/skin irritant; STOT SE 3 (resp),https://s3.amazonaws.com/gelest/sds/SIM6500.0_GHS%20EU_English.pdf
triethoxyvinylsilane,78-08-0,,ACROS,25,<NA>,Silanes PN hood,1,rt dry inert gas,flammable; eye/skin irritant; STOT SE 3 (resp),https://assets.thermofisher.com/DirectWebViewer/private/results.aspx?LANGUAGE=d__EN&PLANT=d__ALF&SKU=ALFAAB21037&SUBFORMAT=d__CGV4&page=NewSearch
3-Aminopropyl triethoxysilane,919-30-2,,MP B,100ML,<NA>,Silanes PN hood,1,rt dry inert gas,corrosive; severe burns; harmful if inhaled,https://s3.amazonaws.com/gelest/sds/SIA0610.0_GHS%2BUS_English%2BUS.pdf
phenyltrimethoxysilne,2996-92-1,,GELEST,100,<NA>,Silanes PN hood,1,rt dry,flammable; eye/skin irritant; STOT SE 3 (resp),https://www.sigmaaldrich.com/US/en/sds/aldrich/440931
(3-Aminopropyl)triethoxysilane,919-30-2,,Fluka ,100 mL,<NA>,Silanes PN hood,3,rt dry inert gas,corrosive; severe burns; harmful if inhaled,https://s3.amazonaws.com/gelest/sds/SIA0610.0_GHS%2BUS_English%2BUS.pdf
(3-Glycidoxypropyl)trimethoxysilane,2530-83-8,,Fluka,50ml,<NA>,Silanes PN hood,1,rt dry inert gas,skin/eye irritant; skin sensitizer; harmful if inhaled,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC216541000
phenoxytrimethylsilane,1529-17-5,,GELEST,25,<NA>,Silanes PN hood,3,rt dry,flammable; eye/skin irritant,https://static.cymitquimica.com/products/3H/pdf/sds-SIP6723.5.pdf
triethoxysilylbutyraldehyde,917773-12-7,,GELEST,10,<NA>,Silanes PN hood,1,rt dry inert gas,flammable; eye/skin irritant; STOT SE 3 (resp),https://s3.amazonaws.com/gelest/sds/SIT8185.3_GHS%20US_English%20US.pdf
Methoxy(dimethyl)octylsilane,93804-29-6,,ALDRICH,5,<NA>,Silanes PN hood,1,rt dry,eye/skin irritant,https://www.tcichemicals.com/US/en/sds/M2893_US_EN.pdf
3-Isocyanatopropyltriethoxysilane,24801-88-5,,GELEST,25,<NA>,Silanes PN hood,1,rt dry inert gas,corrosive; fatal if inhaled; respiratory/skin sensitizer,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC391900250
"5,6-epoxyhexyltriethoxysilane",86138-01-4,,GELEST,10,<NA>,Silanes PN hood,1,rt dry inert gas,eye/skin irritant; skin sensitizer,https://www.gelest.com/wp-content/uploads/product_msds/SIV1115.0-msds.pdf
n-phenylaminopropyltrimethoxysilane,3068-76-6,,GELEST,25,<NA>,Silanes PN hood,1,rt dry,harmful if swallowed; eye/skin irritant; aquatic chronic,https://content.labscoop.com/products/b3a67bc8-46aa-432e-a731-ca298e47a0c2/rcfeEV0044_US_EN.pdf
phenethyltrimethoxysilane,49539-88-0,,GELEST,25,<NA>,Silanes PN hood,1,rt dry,flammable; eye/skin irritant,https://www.keyorganics.net/app/uploads/sds/FS-5025_SDS.pdf
tetra-n-propoxysilane,682-01-9,,GELEST,100,<NA>,Silanes PN hood,1,rt dry inert gas,eye/skin irritant; STOT SE 3 (resp),https://www.sigmaaldrich.com/IN/en/sds/aldrich/679240
"2-(3,4-epoxycyclohexyl)-ethyltriethoxysilane",3388-04-3,,GELEST,25,<NA>,Silanes PN hood,1,rt dry inert gas,eye/skin irritant; skin sensitizer,https://www.tcichemicals.com/US/en/sds/E0483_US_EN.pdf
tetrapropoxysilane,682-01-9,,ACROS,25ml,<NA>,Silanes PN hood,1,rt dry inert gas,eye/skin irritant; STOT SE 3 (resp),https://www.sigmaaldrich.com/IN/en/sds/aldrich/679240
"n(trimethoxy sillyl propyl ethylenediamine, triacetic acid)",128850-89-5,,GELEST,25g,<NA>,Silanes PN hood,2,rt,eye/skin irritant,https://www.chemsrc.com/msds/128850-89-5_msds.pdf
n-octyltriethoxysilane,2943-75-1,,ACROS,25ml,<NA>,Silanes PN hood,1,rt dry,flammable; eye/skin irritant,https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC338080250
tetra-n-butoxysilane,4766-57-8,,GELEST,100,<NA>,Silanes PN hood,1,rt dry inert gas,eye/skin irritant; STOT SE 3 (resp),https://www.fishersci.com/store/msds?countryCode=US&language=en&partNumber=AC313690050
Bis(triethoxysilylpropyl)amine,13497-18-2,,GELEST,25,<NA>,Silanes PN hood,1,rt dry,eye/skin irritant,https://msds.evonik.com/0000354037_99034876_1072_SDS_GHS_EN_V2.2.pdf
n-octrdecyltrimethoxysilane,3069-42-9,,GELEST,25,<NA>,Silanes PN hood,1,rt dry,eye/skin irritant,https://www.alfa.com/en/msds/?language=EN&subformat=MSDS_CSTM&sku=O0359
octadecyldimethylmethoxysilane,71808-65-6,,UCT SPECIALITES,25,<NA>,Silanes PN hood,1,rt dry,eye/skin irritant,https://www.chemicalbook.com/msds/octadecyldimethylmethoxysilane.htm
2-(methoxy(polyethylenoxy)-propyl)9-12trimethoxysilane,65994-07-2,,GELEST,25,<NA>,Silanes PN hood,2,rt,eye/skin irritant,https://www.gelest.com/wp-content/uploads/product_msds/SIM6492.72-msds.pdf
2-(methoxy(polyethylenoxy)-propyl)trimethoxysilane,65994-07-2,,GELEST,25,<NA>,Silanes PN hood,1,rt,eye/skin irritant,https://www.gelest.com/wp-content/uploads/product_msds/SIM6492.72-msds.pdf
2-(methoxy(polyethylenoxy)-propyl)trimethoxysilane,65994-07-2,,GELEST,100,<NA>,Silanes PN hood,1,rt,eye/skin irritant,https://www.gelest.com/wp-content/uploads/product_msds/SIM6492.72-msds.pdf
"diethoxymethylsilyl modified Poly-1,2-butadiene",,,GELEST,100,<NA>,Silanes PN hood,1,rt,combustible; eye/skin irritant,
,,,,,<NA>,,1,,,
,,, ,,<NA>,,1,,,
3-(trihydroxysilyl)-1-propane-sulfonic acid,70942-24-4,,GELEST,25,<NA>,Yunxiu's fume hood,1,rt,corrosive,https://s3.amazonaws.com/gelest/sds/SIT8378.3_GHS%2BUS_English%2BUS.pdf
Bicinchoninic acid solution,1245-13-2,,Sigma-Aldrich,1 L,<NA>,Yunxiu's fume hood,1,rt,irritant,https://datasheets.scbt.com/sc-288354.pdf
